Date : 2024-01-05 00:25:49
Directory : c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet
Total : 1797 files,  655447 codes, 28101 comments, 71064 blanks, all 754612 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\configuration.py                                    | Python           |        226 |         12 |         45 |        283 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\debug.py                                            | Python           |        151 |          9 |         44 |        204 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\download.py                                         | Python           |        117 |          2 |         29 |        148 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\freeze.py                                           | Python           |         91 |          0 |         18 |        109 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\hash.py                                             | Python           |         48 |          0 |         12 |         60 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\help.py                                             | Python           |         29 |          1 |         12 |         42 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\index.py                                            | Python           |        108 |          4 |         28 |        140 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\inspect.py                                          | Python           |         77 |          6 |         10 |         93 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\install.py                                          | Python           |        650 |         36 |         93 |        779 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\list.py                                             | Python           |        299 |         13 |         57 |        369 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\search.py                                           | Python           |        142 |          2 |         31 |        175 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\show.py                                             | Python           |        162 |          0 |         28 |        190 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\uninstall.py                                        | Python           |         99 |          0 |         15 |        114 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands\wheel.py                                            | Python           |        151 |          2 |         31 |        184 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\configuration.py                                             | Python           |        275 |         35 |         72 |        382 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions\__init__.py                                    | Python           |         13 |          4 |          5 |         22 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions\base.py                                        | Python           |         38 |          0 |         14 |         52 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions\installed.py                                   | Python           |         22 |          0 |          8 |         30 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions\sdist.py                                       | Python           |        122 |         18 |         17 |        157 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions\wheel.py                                       | Python           |         32 |          0 |          9 |         41 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\exceptions.py                                                | Python           |        551 |         23 |        160 |        734 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\index\__init__.py                                            | Python           |          2 |          0 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\index\collector.py                                           | Python           |        391 |         29 |         86 |        506 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\index\package_finder.py                                      | Python           |        844 |         39 |        147 |      1,030 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\index\sources.py                                             | Python           |        178 |          0 |         46 |        224 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\locations\__init__.py                                        | Python           |        345 |         37 |         86 |        468 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\locations\_distutils.py                                      | Python           |        127 |         22 |         25 |        174 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\locations\_sysconfig.py                                      | Python           |        158 |         17 |         39 |        214 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\locations\base.py                                            | Python           |         55 |          8 |         19 |         82 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\main.py                                                      | Python           |          8 |          0 |          5 |         13 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\__init__.py                                         | Python           |         96 |          0 |         33 |        129 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\_json.py                                            | Python           |         68 |          6 |         11 |         85 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\base.py                                             | Python           |        564 |         15 |        124 |        703 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py                               | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py                                | Python           |         40 |          0 |         16 |         56 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py                                 | Python           |        184 |         12 |         32 |        228 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py                                  | Python           |        150 |          6 |         34 |        190 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\metadata\pkg_resources.py                                    | Python           |        212 |         17 |         50 |        279 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\__init__.py                                           | Python           |          2 |          0 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\candidate.py                                          | Python           |         26 |          0 |          9 |         35 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\direct_url.py                                         | Python           |        192 |          3 |         43 |        238 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\format_control.py                                     | Python           |         65 |          1 |         15 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\index.py                                              | Python           |         17 |          3 |          9 |         29 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\installation_report.py                                | Python           |         29 |         21 |          7 |         57 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\link.py                                               | Python           |        429 |         54 |         99 |        582 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\scheme.py                                             | Python           |         24 |          0 |          8 |         32 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\search_scope.py                                       | Python           |         93 |         18 |         22 |        133 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\selection_prefs.py                                    | Python           |         40 |          4 |          8 |         52 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\target_python.py                                      | Python           |         98 |          4 |         21 |        123 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\models\wheel.py                                              | Python           |         71 |          3 |         19 |         93 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\__init__.py                                          | Python           |          2 |          0 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\auth.py                                              | Python           |        387 |         71 |        104 |        562 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\cache.py                                             | Python           |         80 |          5 |         22 |        107 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\download.py                                          | Python           |        150 |          3 |         34 |        187 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\lazy_wheel.py                                        | Python           |        166 |          7 |         38 |        211 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\session.py                                           | Python           |        359 |         80 |         81 |        520 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\utils.py                                             | Python           |         39 |         47 |         11 |         97 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\network\xmlrpc.py                                            | Python           |         52 |          0 |          9 |         61 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\build_tracker.py                            | Python           |         99 |          8 |         33 |        140 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\metadata.py                                 | Python           |         27 |          3 |         10 |         40 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py                        | Python           |         29 |          3 |         10 |         42 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py                          | Python           |         58 |          1 |         16 |         75 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\wheel.py                                    | Python           |         30 |          0 |          8 |         38 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py                           | Python           |         39 |          0 |          8 |         47 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py                             | Python           |         85 |          1 |         17 |        103 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\check.py                                          | Python           |        138 |         10 |         40 |        188 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\freeze.py                                         | Python           |        214 |         12 |         30 |        256 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\install\__init__.py                               | Python           |          2 |          0 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py                        | Python           |         40 |          0 |          7 |         47 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\install\wheel.py                                  | Python           |        529 |         94 |        118 |        741 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\operations\prepare.py                                        | Python           |        529 |        113 |         89 |        731 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\pyproject.py                                                 | Python           |        106 |         45 |         29 |        180 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\__init__.py                                              | Python           |         73 |          1 |         19 |         93 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\constructors.py                                          | Python           |        474 |         24 |         79 |        577 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\req_file.py                                              | Python           |        424 |         36 |         93 |        553 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\req_install.py                                           | Python           |        731 |         76 |        108 |        915 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\req_set.py                                               | Python           |         97 |          0 |         23 |        120 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\req\req_uninstall.py                                         | Python           |        489 |         58 |        104 |        651 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\base.py                                           | Python           |         15 |          0 |          6 |         21 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py                                | Python           |        450 |         70 |         81 |        601 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py                                | Python           |        103 |          4 |         35 |        142 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py                          | Python           |        480 |         29 |         99 |        608 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py                             | Python           |        656 |         77 |         80 |        813 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py                    | Python           |        112 |         18 |         26 |        156 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py                            | Python           |        191 |         29 |         36 |        256 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py                            | Python           |         60 |          1 |         20 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py                        | Python           |        122 |         12 |         45 |        179 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py                            | Python           |        238 |         34 |         46 |        318 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\self_outdated_check.py                                       | Python           |        185 |         16 |         48 |        249 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\_jaraco_text.py                                        | Python           |         83 |          0 |         27 |        110 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\_log.py                                                | Python           |         23 |          2 |         14 |         39 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\appdirs.py                                             | Python           |         31 |          5 |         17 |         53 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\compat.py                                              | Python           |         36 |          9 |         19 |         64 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\compatibility_tags.py                                  | Python           |        121 |         16 |         29 |        166 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\datetime.py                                            | Python           |          7 |          0 |          5 |         12 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\deprecation.py                                         | Python           |         92 |          6 |         23 |        121 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py                                  | Python           |         71 |          9 |          8 |         88 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\egg_link.py                                            | Python           |         60 |          0 |         13 |         73 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\encoding.py                                            | Python           |         30 |          1 |          6 |         37 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\entrypoints.py                                         | Python           |         65 |          5 |         15 |         85 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\filesystem.py                                          | Python           |        104 |         18 |         32 |        154 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\filetypes.py                                           | Python           |         22 |          0 |          6 |         28 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\glibc.py                                               | Python           |         44 |         31 |         14 |         89 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\hashes.py                                              | Python           |        103 |         12 |         37 |        152 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\logging.py                                             | Python           |        273 |         22 |         54 |        349 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\misc.py                                                | Python           |        603 |         28 |        159 |        790 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\models.py                                              | Python           |         26 |          0 |         14 |         40 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\packaging.py                                           | Python           |         36 |          6 |         16 |         58 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\setuptools_build.py                                    | Python           |        106 |         16 |         25 |        147 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\subprocess.py                                          | Python           |        197 |         39 |         25 |        261 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\temp_dir.py                                            | Python           |        220 |         22 |         55 |        297 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\unpacking.py                                           | Python           |        215 |         14 |         29 |        258 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\urls.py                                                | Python           |         45 |          5 |         13 |         63 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\virtualenv.py                                          | Python           |         72 |          7 |         26 |        105 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\utils\wheel.py                                               | Python           |         94 |          7 |         36 |        137 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\vcs\__init__.py                                              | Python           |         11 |          4 |          1 |         16 |
