Date : 2024-01-05 00:25:49
Directory : c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet
Total : 1797 files,  655447 codes, 28101 comments, 71064 blanks, all 754612 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\rthooks                                                                                                                                        |          1 |          6 |          0 |          6 |         12 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\auth                                                                                                                                                         |          2 |          2 |          0 |          2 |          4 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\auth (Files)                                                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\auth\providers                                                                                                                                               |          1 |          1 |          0 |          1 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\bin                                                                                                                                                          |          2 |          2 |          0 |          0 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\bin\flet                                                                                                                                                     |          2 |          2 |          0 |          0 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\bin\flet\data                                                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\bin\flet\data\flutter_assets                                                                                                                                 |          2 |          2 |          0 |          0 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\canvas                                                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\cli                                                                                                                                                          |          7 |        916 |         53 |        120 |      1,089 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\cli (Files)                                                                                                                                                  |          1 |         56 |         13 |         17 |         86 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands                                                                                                                                                 |          6 |        860 |         40 |        103 |      1,003 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\utils                                                                                                                                                        |          1 |          4 |          0 |          4 |          8 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\web                                                                                                                                                          |         11 |    162,945 |        188 |         64 |    163,197 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\web (Files)                                                                                                                                                  |          8 |    162,942 |        188 |         64 |    163,194 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\web\assets                                                                                                                                                   |          3 |          3 |          0 |          0 |          3 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_core                                                                                                                                                         |        149 |     32,092 |      1,646 |      4,913 |     38,651 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_core (Files)                                                                                                                                                 |        121 |     29,669 |      1,424 |      4,330 |     35,423 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas                                                                                                                                                  |         14 |        856 |         69 |        220 |      1,145 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts                                                                                                                                                  |         14 |      1,567 |        153 |        363 |      2,083 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_runtime                                                                                                                                                      |         19 |      1,836 |         47 |        360 |      2,243 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_runtime (Files)                                                                                                                                              |          8 |      1,413 |         44 |        292 |      1,749 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_runtime\auth                                                                                                                                                 |         11 |        423 |          3 |         68 |        494 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_runtime\auth (Files)                                                                                                                                         |          6 |        278 |          3 |         44 |        325 |
| venv_primeros_pasos_flet\Lib\site-packages\flet_runtime\auth\providers                                                                                                                                       |          5 |        145 |          0 |         24 |        169 |
| venv_primeros_pasos_flet\Lib\site-packages\h11                                                                                                                                                               |         22 |      3,619 |        885 |        822 |      5,326 |
| venv_primeros_pasos_flet\Lib\site-packages\h11 (Files)                                                                                                                                                       |         11 |      1,470 |        674 |        404 |      2,548 |
| venv_primeros_pasos_flet\Lib\site-packages\h11\tests                                                                                                                                                         |         11 |      2,149 |        211 |        418 |      2,778 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore                                                                                                                                                          |         31 |      5,347 |        367 |        987 |      6,701 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore (Files)                                                                                                                                                  |          8 |        973 |         46 |        213 |      1,232 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore-0.17.3.dist-info                                                                                                                                         |          1 |         22 |          0 |          6 |         28 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore\_async                                                                                                                                                   |          8 |      1,874 |        157 |        332 |      2,363 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore\_backends                                                                                                                                                |          7 |        626 |          7 |        110 |        743 |
| venv_primeros_pasos_flet\Lib\site-packages\httpcore\_sync                                                                                                                                                    |          8 |      1,874 |        157 |        332 |      2,363 |
| venv_primeros_pasos_flet\Lib\site-packages\httpx                                                                                                                                                             |         24 |      7,201 |        365 |      1,368 |      8,934 |
| venv_primeros_pasos_flet\Lib\site-packages\httpx (Files)                                                                                                                                                     |         18 |      6,553 |        352 |      1,222 |      8,127 |
| venv_primeros_pasos_flet\Lib\site-packages\httpx-0.24.1.dist-info                                                                                                                                            |          1 |          7 |          0 |          6 |         13 |
| venv_primeros_pasos_flet\Lib\site-packages\httpx-0.24.1.dist-info\licenses                                                                                                                                   |          1 |          7 |          0 |          6 |         13 |
| venv_primeros_pasos_flet\Lib\site-packages\httpx\_transports                                                                                                                                                 |          6 |        648 |         13 |        146 |        807 |
| venv_primeros_pasos_flet\Lib\site-packages\idna                                                                                                                                                              |          8 |     11,160 |         17 |        210 |     11,387 |
| venv_primeros_pasos_flet\Lib\site-packages\idna-3.6.dist-info                                                                                                                                                |          1 |         25 |          0 |          7 |         32 |
| venv_primeros_pasos_flet\Lib\site-packages\jinja2                                                                                                                                                            |         25 |     10,993 |        567 |      2,698 |     14,258 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it                                                                                                                                                       |         67 |      4,885 |        685 |      1,472 |      7,042 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it (Files)                                                                                                                                               |         13 |      1,600 |        117 |        398 |      2,115 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\cli                                                                                                                                                   |          2 |         86 |          2 |         23 |        111 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common                                                                                                                                                |          6 |        338 |         67 |        112 |        517 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\helpers                                                                                                                                               |          4 |        144 |          8 |         47 |        199 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\presets                                                                                                                                               |          4 |        118 |         47 |         19 |        184 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block                                                                                                                                           |         13 |      1,233 |        240 |        423 |      1,896 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_core                                                                                                                                            |          9 |        418 |         50 |        137 |        605 |
| venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_inline                                                                                                                                          |         16 |        948 |        154 |        313 |      1,415 |
| venv_primeros_pasos_flet\Lib\site-packages\markupsafe                                                                                                                                                        |          4 |        555 |         13 |        132 |        700 |
| venv_primeros_pasos_flet\Lib\site-packages\mdurl                                                                                                                                                             |          6 |        342 |        113 |        103 |        558 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib                                                                                                                                                          |         68 |      8,599 |        809 |      2,521 |     11,929 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib (Files)                                                                                                                                                  |          4 |        455 |         77 |        168 |        700 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth1                                                                                                                                                   |         15 |      2,254 |        492 |        743 |      3,489 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth1 (Files)                                                                                                                                           |          1 |         22 |          0 |          2 |         24 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth1\rfc5849                                                                                                                                           |         14 |      2,232 |        492 |        741 |      3,465 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth1\rfc5849 (Files)                                                                                                                                   |          6 |      1,479 |        319 |        566 |      2,364 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth1\rfc5849\endpoints                                                                                                                                 |          8 |        753 |        173 |        175 |      1,101 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2                                                                                                                                                   |         33 |      4,854 |        178 |      1,325 |      6,357 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2 (Files)                                                                                                                                           |          1 |         35 |          0 |          2 |         37 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc6749                                                                                                                                           |         29 |      4,732 |        178 |      1,294 |      6,204 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc6749 (Files)                                                                                                                                   |          6 |      1,538 |         20 |        454 |      2,012 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc6749\clients                                                                                                                                   |          7 |      1,070 |         10 |        288 |      1,368 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc6749\endpoints                                                                                                                                 |          9 |        901 |         22 |        233 |      1,156 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc6749\grant_types                                                                                                                               |          7 |      1,223 |        126 |        319 |      1,668 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc8628                                                                                                                                           |          3 |         87 |          0 |         29 |        116 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc8628 (Files)                                                                                                                                   |          1 |          8 |          0 |          3 |         11 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\oauth2\rfc8628\clients                                                                                                                                   |          2 |         79 |          0 |         26 |        105 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid                                                                                                                                                   |         16 |      1,036 |         62 |        285 |      1,383 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid (Files)                                                                                                                                           |          1 |          6 |          0 |          2 |          8 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect                                                                                                                                           |         15 |      1,030 |         62 |        283 |      1,375 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect (Files)                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect\core                                                                                                                                      |         14 |      1,030 |         62 |        282 |      1,374 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect\core (Files)                                                                                                                              |          4 |        399 |          0 |        122 |        521 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect\core\endpoints                                                                                                                            |          3 |        176 |          2 |         37 |        215 |
| venv_primeros_pasos_flet\Lib\site-packages\oauthlib\openid\connect\core\grant_types                                                                                                                          |          7 |        455 |         60 |        123 |        638 |
| venv_primeros_pasos_flet\Lib\site-packages\packaging                                                                                                                                                         |         14 |      3,203 |        530 |        811 |      4,544 |
| venv_primeros_pasos_flet\Lib\site-packages\pip                                                                                                                                                               |        495 |    153,037 |      8,575 |     21,639 |    183,251 |
| venv_primeros_pasos_flet\Lib\site-packages\pip (Files)                                                                                                                                                       |          3 |         47 |         14 |         29 |         90 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal                                                                                                                                                     |        147 |     23,567 |      2,169 |      5,062 |     30,798 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal (Files)                                                                                                                                             |          9 |      1,899 |        174 |        463 |      2,536 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\cli                                                                                                                                                 |         12 |      2,142 |        201 |        430 |      2,773 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\commands                                                                                                                                            |         18 |      2,787 |        119 |        529 |      3,435 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\distributions                                                                                                                                       |          5 |        227 |         22 |         53 |        302 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\index                                                                                                                                               |          4 |      1,415 |         68 |        280 |      1,763 |
| venv_primeros_pasos_flet\Lib\site-packages\pip\_internal\locations                                                                                                                                           |          4 |        685 |         84 |        169 |        938 |
